Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/09/2015,0,144,81,67,596,286,7,243,41
1/10/2015,3,157,75,70,709,293,6,222,40
1/11/2015,0,161,71,58,748,322,7,181,37
1/12/2015,0,163,89,69,672,288,19,276,48
1/01/2016,0,209,75,81,616,323,6,195,58
1/02/2016,0,187,106,46,634,221,13,218,49
1/03/2016,1,175,98,83,618,269,13,285,38
1/04/2016,1,150,100,69,647,282,13,389,77
1/05/2016,1,139,93,53,681,260,6,225,51
1/06/2016,0,127,114,65,669,236,7,231,49
1/07/2016,0,139,79,56,571,229,2,289,72
1/08/2016,1,150,106,66,650,228,2,230,46
1/09/2016,1,153,86,69,729,264,6,255,35
1/10/2016,0,165,101,79,763,284,16,238,61
1/11/2016,0,193,113,79,786,285,3,286,52
1/12/2016,0,205,101,67,673,292,13,233,47
1/01/2017,2,176,104,88,624,292,12,255,67
1/02/2017,0,164,96,65,564,247,4,268,61
1/03/2017,1,142,86,69,670,266,9,252,44
1/04/2017,0,160,107,50,612,244,6,222,61
1/05/2017,0,119,118,54,699,224,5,222,19
1/06/2017,0,109,90,49,636,184,5,224,45
1/07/2017,0,98,60,48,602,163,3,251,44
1/08/2017,0,156,82,66,643,187,1,283,44
1/09/2017,1,133,99,67,573,174,1,185,31
1/10/2017,0,159,94,68,600,223,7,252,50
1/11/2017,2,148,82,61,614,204,10,221,29
1/12/2017,6,174,102,70,649,189,14,204,30
1/01/2018,0,140,93,77,686,192,23,230,52
1/02/2018,1,136,100,55,804,174,20,196,28
1/03/2018,0,150,99,60,720,233,5,234,35
1/04/2018,3,121,77,62,739,211,8,289,37
1/05/2018,1,123,80,70,777,203,4,210,46
1/06/2018,0,143,83,54,946,182,1,328,63
1/07/2018,0,109,56,53,811,199,4,236,27
1/08/2018,0,143,75,50,765,203,3,273,39
1/09/2018,0,154,79,36,703,185,3,224,30
1/10/2018,0,147,85,70,771,217,6,215,32
1/11/2018,3,148,83,61,796,203,2,255,42
1/12/2018,0,173,86,53,747,217,11,243,45
1/01/2019,0,143,86,66,794,205,2,300,71
1/02/2019,1,142,89,52,774,162,13,198,46
1/03/2019,2,173,71,56,908,211,6,261,42
1/04/2019,4,146,67,47,764,243,12,299,44
1/05/2019,0,134,98,45,808,192,8,358,76
1/06/2019,0,134,101,48,727,190,6,230,43
1/07/2019,1,153,65,47,663,195,4,240,68
1/08/2019,0,152,96,60,714,197,5,306,48
1/09/2019,1,166,87,62,800,184,5,247,31
1/10/2019,2,175,90,59,787,234,7,247,42
1/11/2019,0,169,87,44,687,201,7,202,30
1/12/2019,0,238,80,61,730,270,24,231,46
1/01/2020,0,200,103,53,695,236,6,188,26
1/02/2020,0,223,110,50,692,221,14,244,45
1/03/2020,1,212,101,63,678,220,22,212,29
1/04/2020,0,153,78,48,409,168,2,324,48
1/05/2020,0,163,100,21,361,174,10,325,41
1/06/2020,0,166,87,34,360,197,4,334,40
1/07/2020,1,158,87,45,374,188,6,327,51
1/08/2020,1,176,89,25,269,176,2,342,32
1/09/2020,1,147,86,25,301,165,2,256,49
1/10/2020,0,172,95,42,386,178,3,230,35
1/11/2020,0,160,78,29,435,166,10,241,28
1/12/2020,0,185,85,54,483,205,5,215,44
1/01/2021,2,181,62,41,492,196,14,236,27
1/02/2021,0,178,81,43,400,161,5,236,35
1/03/2021,0,165,87,41,605,208,9,294,57
1/04/2021,0,163,75,31,499,177,12,303,34
1/05/2021,0,125,94,38,468,163,4,252,33
1/06/2021,0,141,88,35,495,169,2,325,37
1/07/2021,0,121,81,41,515,197,3,321,47
1/08/2021,0,157,88,33,495,195,9,254,37
1/09/2021,2,124,83,37,419,182,7,156,24
1/10/2021,0,162,95,35,496,190,3,233,22
1/11/2021,1,148,100,37,422,158,5,212,30
1/12/2021,1,171,97,36,481,170,15,151,21
1/01/2022,0,165,76,42,462,191,8,137,19
1/02/2022,1,170,99,26,398,140,17,137,30
1/03/2022,0,150,91,40,550,224,8,223,47
1/04/2022,0,162,85,47,444,164,3,151,25
1/05/2022,0,145,100,36,576,160,2,230,20
1/06/2022,0,152,115,39,665,162,5,163,25
1/07/2022,0,136,66,38,568,134,6,197,32
1/08/2022,0,140,91,51,522,171,6,210,30
1/09/2022,0,171,83,41,647,278,7,132,21
1/10/2022,2,170,93,42,695,184,5,171,39
1/11/2022,0,169,95,52,584,169,3,158,19
1/12/2022,0,176,105,32,554,180,7,155,28
