District,Station,x,y,longitude,latitude,date,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle, Stealing Total, Property Damage Total, Arson Total,Drug Offences Total,Regulated Weapons Offences
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2022,1,165,141,45,810,218,20,107,9
